word,category
a bit,intensifier
a bit,intensifier
a little,intensifier
a little bit,diminisher
a little bit,intensifier
a lot,intensifier
absolutely,amplifier
absolutely,intensifier
absolutely,intensifier
absolutely,intensifier
almost,diminisher
almost,intensifier
almost,intensifier
almost,intensifier
almost,intensifier
altogether,amplifier
altogether,intensifier
altogether,intensifier
altogether,intensifier
amazingly,intensifier
amazingly,intensifier
amazingly,intensifier
at all,intensifier
awfully,amplifier
awfully,intensifier
awfully,intensifier
badly,intensifier
barely,intensifier
barely,intensifier
barely,intensifier
bloody,amplifier
by no means,intensifier
completely,amplifier
completely,amplifier
completely,intensifier
completely,intensifier
completely,intensifier
completely,intensifier
completely,intensifier
considerably,intensifier
considerably,intensifier
considerably,intensifier
considerably,intensifier
damn,amplifier
damn,intensifier
dead,intensifier
deeply,intensifier
deeply,intensifier
downright,intensifier
dreadfully,intensifier
easily,intensifier
enormously,intensifier
enormously,intensifier
enough,intensifier
enough,intensifier
entirely,amplifier
entirely,intensifier
entirely,intensifier
entirely,intensifier
entirely,intensifier
exceedingly,intensifier
exceedingly,intensifier
exceedingly,intensifier
excessively,intensifier
excessively,intensifier
extensively,intensifier
extra,intensifier
extraordinarily,intensifier
extremely,amplifier
extremely,amplifier
extremely,intensifier
extremely,intensifier
extremely,intensifier
extremely,intensifier
extremely,intensifier
extremely,intensifier
fairly,diminisher
fairly,intensifier
fairly,intensifier
fantastically,intensifier
far,intensifier
fully,amplifier
fully,intensifier
fully,intensifier
fully,intensifier
good and,amplifier
greatly,intensifier
greatly,intensifier
greatly,intensifier
hardly,diminisher
hardly,intensifier
hardly,intensifier
hardly,intensifier
highly,amplifier
highly,intensifier
highly,intensifier
highly,intensifier
highly,intensifier
highly,intensifier
highly,intensifier
hugely,intensifier
immensely,intensifier
immensely,intensifier
immensely,intensifier
in no way,intensifier
incredibly,amplifier
incredibly,intensifier
incredibly,intensifier
incredibly,intensifier
indeed,intensifier
infinitely,intensifier
intensely,intensifier
jolly,intensifier
just,intensifier
largely,intensifier
largely,intensifier
little,intensifier
mighty,intensifier
moderately,intensifier
more,amplifier
more,intensifier
most,intensifier
most,intensifier
most,intensifier
nearly,intensifier
nearly,intensifier
nearly,intensifier
not so,intensifier
noticeably,intensifier
outright,intensifier
partially,intensifier
partly,intensifier
partly,intensifier
perfectly,amplifier
perfectly,intensifier
perfectly,intensifier
plain,intensifier
positively,intensifier
practically,intensifier
practically,intensifier
pretty,intensifier
pretty,intensifier
pretty,intensifier
pretty,intensifier
profoundly,intensifier
purely,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
quite,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
rather,intensifier
real,amplifier
real,intensifier
really,amplifier
really,intensifier
really,intensifier
really,intensifier
reasonably,intensifier
relatively,intensifier
remarkably,intensifier
scarcely,intensifier
sharply,intensifier
simply,intensifier
slightly,diminisher
slightly,diminisher
slightly,intensifier
slightly,intensifier
slightly,intensifier
slightly,intensifier
slightly,intensifier
so,amplifier
so,amplifier
so,intensifier
so,intensifier
so,intensifier
so,intensifier
so,intensifier
so,intensifier
so,intensifier
somewhat,amplifier
somewhat,diminisher
somewhat,intensifier
somewhat,intensifier
somewhat,intensifier
somewhat,intensifier
strikingly,intensifier
strikingly,intensifier
strongly,amplifier
strongly,intensifier
strongly,intensifier
strongly,intensifier
sufficiently,intensifier
sufficiently,intensifier
supremely,intensifier
surprisingly,intensifier
suspiciously,intensifier
terribly,amplifier
terribly,intensifier
terribly,intensifier
terribly,intensifier
thoroughly,intensifier
thoroughly,intensifier
thoroughly,intensifier
to some extent,intensifier
too,amplifier
too,intensifier
too,intensifier
too,intensifier
totally,amplifier
totally,intensifier
totally,intensifier
totally,intensifier
totally,intensifier
tremendously,intensifier
truly,intensifier
unbelievably,intensifier
unbelievably,intensifier
unbelievably,intensifier
unusually,intensifier
unusually,intensifier
utterly,intensifier
utterly,intensifier
utterly,intensifier
utterly,intensifier
very,amplifier
very,amplifier
very,intensifier
very,intensifier
very,intensifier
very,intensifier
very,intensifier
very,intensifier
very,intensifier
very much,amplifier
virtually,intensifier
virtually,intensifier
way,intensifier
well,intensifier
well,intensifier
wholly,intensifier
wonderfully,intensifier
